Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,"37,460","1,739","21,335","60,534","20,118","1,600","20,764","42,482","17,342",139,571,"18,052",70.20%,53.70%,92.00%,97.30%,"12,530",12,1,"12,543","5,343","17,886","3,780",320
QE1,NHS Lancashire And South Cumbria Integrated Care Board,"40,250",0,"29,176","69,426","24,019",0,"27,920","51,939","16,231",0,"1,256","17,487",74.80%,59.70%,-,95.70%,"12,832",0,329,"13,161","5,843","19,004","5,039","2,185"
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,"18,146",0,"4,622","22,768","8,410",0,"4,618","13,028","9,736",0,4,"9,740",57.20%,46.30%,-,99.90%,"5,455",0,0,"5,455","1,961","7,416","2,071",486
QM7,NHS Hertfordshire And West Essex Integrated Care Board,"26,367",0,"18,677","45,044","9,922",0,"18,255","28,177","16,445",0,422,"16,867",62.60%,37.60%,-,97.70%,"8,240",0,0,"8,240","1,146","9,386","2,593",192
QOQ,NHS Humber And North Yorkshire Integrated Care Board,"41,135",339,"21,737","63,211","21,378",339,"20,394","42,111","19,757",0,"1,343","21,100",66.60%,52.00%,100.00%,93.80%,"14,276",1,0,"14,277","4,118","18,395","5,317","2,085"
QJ2,NHS Derby And Derbyshire Integrated Care Board,"27,254",0,"21,521","48,775","14,792",0,"21,170","35,962","12,462",0,351,"12,813",73.70%,54.30%,-,98.40%,"6,744",0,274,"7,018","2,792","9,810","2,932","1,180"
QKS,NHS Kent And Medway Integrated Care Board,"52,116",0,"39,339","91,455","32,792",0,"37,810","70,602","19,324",0,"1,529","20,853",77.20%,62.90%,-,96.10%,"14,237",0,424,"14,661","3,464","18,125","5,102","2,081"
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board","20,843","1,603","13,158","35,604","11,411","1,532","13,144","26,087","9,432",71,14,"9,517",73.30%,54.70%,95.60%,99.90%,"5,620",5,0,"5,625","3,256","8,881","2,537","1,167"
QJM,NHS Lincolnshire Integrated Care Board,"9,928",0,"17,858","27,786","3,351",0,"16,191","19,542","6,577",0,"1,667","8,244",70.30%,33.80%,-,90.70%,"4,248",0,0,"4,248","1,063","5,311","1,965",967
QH8,NHS Mid And South Essex Integrated Care Board,"31,814",0,"1,703","33,517","20,240",0,"1,608","21,848","11,574",0,95,"11,669",65.20%,63.60%,-,94.40%,"8,712",0,144,"8,856","1,198","10,054","3,259",12
QMM,NHS Norfolk And Waveney Integrated Care Board,"24,207",0,"10,756","34,963","14,644",0,"10,743","25,387","9,563",0,13,"9,576",72.60%,60.50%,-,99.90%,"7,273",0,0,"7,273","2,649","9,922","1,968",443
QMJ,NHS North Central London Integrated Care Board,"46,504","5,327","17,809","69,640","25,369","5,275","14,919","45,563","21,135",52,"2,890","24,077",65.40%,54.60%,99.00%,83.80%,"8,497",5,0,"8,502","1,264","9,766","4,486","2,059"
QRV,NHS North West London Integrated Care Board,"51,010","3,369","42,621","97,000","28,138","3,349","40,732","72,219","22,872",20,"1,889","24,781",74.50%,55.20%,99.40%,95.60%,"15,637",0,0,"15,637","2,324","17,961","4,048",731
QPM,NHS Northamptonshire Integrated Care Board,"18,542",478,"11,474","30,494","9,434",470,"11,317","21,221","9,108",8,157,"9,273",69.60%,50.90%,98.30%,98.60%,"3,922",0,0,"3,922","1,533","5,455","2,666","1,009"
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,"25,762","1,676","11,130","38,568","12,028","1,344","9,263","22,635","13,734",332,"1,867","15,933",58.70%,46.70%,80.20%,83.20%,"7,209",0,0,"7,209","4,845","12,054","2,767","1,185"
QKK,NHS South East London Integrated Care Board,"39,502",646,"39,813","79,961","18,158",646,"36,221","55,025","21,344",0,"3,592","24,936",68.80%,46.00%,100.00%,91.00%,"9,254",0,0,"9,254","1,964","11,218","4,518","1,675"
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board","10,232",0,"5,167","15,399","4,295",0,"4,871","9,166","5,937",0,296,"6,233",59.50%,42.00%,-,94.30%,"2,916",0,54,"2,970","2,167","5,137","1,612","1,068"
QSL,NHS Somerset Integrated Care Board,"12,463",0,"8,424","20,887","7,200",0,"8,116","15,316","5,263",0,308,"5,571",73.30%,57.80%,-,96.30%,"3,298",0,0,"3,298","2,044","5,342",760,93
QWE,NHS South West London Integrated Care Board,"42,632",259,"16,426","59,317","26,979",258,"16,083","43,320","15,653",1,343,"15,997",73.00%,63.30%,99.60%,97.90%,"8,116",0,145,"8,261","1,590","9,851","3,945","2,203"
QF7,NHS South Yorkshire Integrated Care Board,"44,379",884,"11,971","57,234","25,083",884,"11,623","37,590","19,296",0,348,"19,644",65.70%,56.50%,100.00%,97.10%,"14,268",0,430,"14,698","4,945","19,643","4,586",318
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,"13,491",383,"7,763","21,637","6,052",383,"7,459","13,894","7,439",0,304,"7,743",64.20%,44.90%,100.00%,96.10%,"5,836",0,0,"5,836","2,881","8,717","1,816","1,059"
QJG,NHS Suffolk And North East Essex Integrated Care Board,"21,855",0,"12,417","34,272","11,810",0,"12,149","23,959","10,045",0,268,"10,313",69.90%,54.00%,-,97.80%,"7,971",0,290,"8,261","1,593","9,854","2,465",864
QXU,NHS Surrey Heartlands Integrated Care Board,"26,888",0,"6,197","33,085","15,991",0,"5,874","21,865","10,897",0,323,"11,220",66.10%,59.50%,-,94.80%,"7,851",0,0,"7,851","2,110","9,961","2,903",709
QNX,NHS Sussex Integrated Care Board,"33,342","2,463","25,910","61,715","18,753","2,463","25,078","46,294","14,589",0,832,"15,421",75.00%,56.20%,100.00%,96.80%,"11,664",32,38,"11,734","2,368","14,102","3,233","1,205"
QUA,NHS Black Country Integrated Care Board,"45,660","1,008","30,287","76,955","26,027",924,"28,579","55,530","19,633",84,"1,708","21,425",72.20%,57.00%,91.70%,94.40%,"16,054",0,0,"16,054","3,863","19,917","6,948",834
QWO,NHS West Yorkshire Integrated Care Board,"64,403",206,"23,282","87,891","37,874",206,"22,910","60,990","26,529",0,372,"26,901",69.40%,58.80%,100.00%,98.40%,"15,010",0,245,"15,255","5,022","20,277","7,524","1,069"
