Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QJK,NHS Devon Integrated Care Board,"29,243",278,"13,815","43,336","13,922",278,"13,271","27,471","15,321",0,544,"15,865",63.40%,47.60%,100.00%,96.10%,"8,495",0,0,"8,495","4,607","13,102","2,695",548
QVV,NHS Dorset Integrated Care Board,"18,851",0,"7,926","26,777","10,385",0,"7,915","18,300","8,466",0,11,"8,477",68.30%,55.10%,-,99.90%,"5,639",5,2,"5,646","2,606","8,252",170,8
QMF,NHS North East London Integrated Care Board,"43,539","3,161","29,366","76,066","26,585","2,704","24,312","53,601","16,954",457,"5,054","22,465",70.50%,61.10%,85.50%,82.80%,"13,711",0,0,"13,711","1,668","15,379","3,336","1,084"
QNQ,NHS Frimley Integrated Care Board,"21,046",0,"2,412","23,458","13,356",0,"2,342","15,698","7,690",0,70,"7,760",66.90%,63.50%,-,97.10%,"5,556",0,0,"5,556",319,"5,875","1,427",0
QR1,NHS Gloucestershire Integrated Care Board,"12,311",0,"6,823","19,134","7,021",0,"6,811","13,832","5,290",0,12,"5,302",72.30%,57.00%,-,99.80%,"2,682",0,0,"2,682","1,446","4,128","1,313",573
QOP,NHS Greater Manchester Integrated Care Board,"78,509","3,666","29,801","111,976","45,314","3,554","27,440","76,308","33,195",112,"2,361","35,668",68.10%,57.70%,96.90%,92.10%,"21,299",171,816,"22,286","5,518","27,804","8,870","1,612"
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,"37,090","2,071","23,042","62,203","22,365","2,012","22,777","47,154","14,725",59,265,"15,049",75.80%,60.30%,97.20%,98.80%,"12,077",10,3,"12,090","5,456","17,546","3,096",411
QE1,NHS Lancashire And South Cumbria Integrated Care Board,"40,099",0,"30,235","70,334","24,625",0,"29,375","54,000","15,474",0,860,"16,334",76.80%,61.40%,-,97.20%,"11,828",0,272,"12,100","5,518","17,618","5,153","2,404"
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,"17,722",0,"5,965","23,687","8,927",0,"5,953","14,880","8,795",0,12,"8,807",62.80%,50.40%,-,99.80%,"4,934",0,0,"4,934","1,814","6,748","1,572",513
QM7,NHS Hertfordshire And West Essex Integrated Care Board,"26,328",0,"16,380","42,708","12,142",0,"16,198","28,340","14,186",0,182,"14,368",66.40%,46.10%,-,98.90%,"7,892",0,0,"7,892","1,315","9,207","1,933",90
QOQ,NHS Humber And North Yorkshire Integrated Care Board,"39,335",358,"22,275","61,968","22,143",358,"20,933","43,434","17,192",0,"1,342","18,534",70.10%,56.30%,100.00%,94.00%,"13,304",4,0,"13,308","4,065","17,373","4,265","1,375"
QJ2,NHS Derby And Derbyshire Integrated Care Board,"23,662",0,"24,063","47,725","12,569",0,"23,489","36,058","11,093",0,574,"11,667",75.60%,53.10%,-,97.60%,"6,578",0,372,"6,950","2,844","9,794","1,613",199
QKS,NHS Kent And Medway Integrated Care Board,"47,333",0,"39,505","86,838","31,723",0,"38,103","69,826","15,610",0,"1,402","17,012",80.40%,67.00%,-,96.50%,"14,644",0,463,"15,107","3,972","19,079","3,670","1,201"
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board","19,195","1,817","11,034","32,046","11,080","1,713","11,026","23,819","8,115",104,8,"8,227",74.30%,57.70%,94.30%,99.90%,"5,251",4,0,"5,255","3,315","8,570","2,332","1,087"
QJM,NHS Lincolnshire Integrated Care Board,"12,343",0,"14,939","27,282","4,880",0,"13,615","18,495","7,463",0,"1,324","8,787",67.80%,39.50%,-,91.10%,"4,037",0,0,"4,037","1,064","5,101","1,951",894
QH8,NHS Mid And South Essex Integrated Care Board,"30,937",0,"1,458","32,395","20,480",0,"1,385","21,865","10,457",0,73,"10,530",67.50%,66.20%,-,95.00%,"8,400",0,217,"8,617","1,338","9,955","2,422",6
QMM,NHS Norfolk And Waveney Integrated Care Board,"24,618",0,"10,197","34,815","14,660",0,"10,190","24,850","9,958",0,7,"9,965",71.40%,59.50%,-,99.90%,"5,969",0,0,"5,969","2,712","8,681","3,302","1,074"
QMJ,NHS North Central London Integrated Care Board,"43,027","6,151","14,899","64,077","26,727","6,142","13,718","46,587","16,300",9,"1,181","17,490",72.70%,62.10%,99.90%,92.10%,"7,928",3,0,"7,931","1,247","9,178","3,507","1,493"
QRV,NHS North West London Integrated Care Board,"47,084","3,860","43,947","94,891","27,172","3,837","43,251","74,260","19,912",23,696,"20,631",78.30%,57.70%,99.40%,98.40%,"13,613",1,0,"13,614","3,151","16,765","3,134",391
QPM,NHS Northamptonshire Integrated Care Board,"17,360",627,"10,117","28,104","9,382",618,"9,993","19,993","7,978",9,124,"8,111",71.10%,54.00%,98.60%,98.80%,"3,719",0,0,"3,719","1,516","5,235","2,084",697
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,"25,091","1,878","10,249","37,218","13,303","1,657","9,887","24,847","11,788",221,362,"12,371",66.80%,53.00%,88.20%,96.50%,"7,101",0,0,"7,101","4,213","11,314","2,174",777
QKK,NHS South East London Integrated Care Board,"38,317",790,"35,400","74,507","21,044",790,"32,991","54,825","17,273",0,"2,409","19,682",73.60%,54.90%,100.00%,93.20%,"10,727",0,0,"10,727","2,634","13,361","3,237",688
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board","10,479",0,"5,559","16,038","4,499",0,"5,362","9,861","5,980",0,197,"6,177",61.50%,42.90%,-,96.50%,"2,633",0,43,"2,676","2,133","4,809","1,296",803
QSL,NHS Somerset Integrated Care Board,"12,552",0,"8,957","21,509","7,609",0,"8,732","16,341","4,943",0,225,"5,168",76.00%,60.60%,-,97.50%,"3,399",0,0,"3,399","1,638","5,037",579,24
QWE,NHS South West London Integrated Care Board,"38,690",341,"14,714","53,745","26,853",341,"14,523","41,717","11,837",0,191,"12,028",77.60%,69.40%,100.00%,98.70%,"7,588",7,150,"7,745","1,586","9,331","3,264","1,392"
QF7,NHS South Yorkshire Integrated Care Board,"41,750","1,156","10,821","53,727","25,195","1,156","10,586","36,937","16,555",0,235,"16,790",68.70%,60.30%,100.00%,97.80%,"13,000",0,317,"13,317","5,234","18,551","3,265",92
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,"13,634",481,"7,558","21,673","6,931",481,"7,453","14,865","6,703",0,105,"6,808",68.60%,50.80%,100.00%,98.60%,"5,676",0,0,"5,676","2,821","8,497","1,548",463
QJG,NHS Suffolk And North East Essex Integrated Care Board,"21,102",0,"11,961","33,063","11,423",0,"11,839","23,262","9,679",0,122,"9,801",70.40%,54.10%,-,99.00%,"6,498",0,234,"6,732","1,427","8,159","3,280","1,588"
QXU,NHS Surrey Heartlands Integrated Care Board,"25,460",0,"6,449","31,909","16,173",0,"6,174","22,347","9,287",0,275,"9,562",70.00%,63.50%,-,95.70%,"8,128",0,0,"8,128","2,360","10,488","2,123",195
QNX,NHS Sussex Integrated Care Board,"35,171","1,564","25,973","62,708","21,511","1,538","25,760","48,809","13,660",26,213,"13,899",77.80%,61.20%,98.30%,99.20%,"11,361",27,39,"11,427","2,452","13,879","2,280",673
QUA,NHS Black Country Integrated Care Board,"43,495","1,216","27,700","72,411","25,771","1,087","27,352","54,210","17,724",129,348,"18,201",74.90%,59.30%,89.40%,98.70%,"15,070",0,0,"15,070","3,589","18,659","5,043",315
QWO,NHS West Yorkshire Integrated Care Board,"61,104",296,"21,841","83,241","38,648",296,"21,447","60,391","22,456",0,394,"22,850",72.50%,63.20%,100.00%,98.20%,"14,426",0,294,"14,720","4,782","19,502","6,186",201
