Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QOP,NHS Greater Manchester Integrated Care Board,"86,872","3,809","26,885","117,566","44,714","3,684","25,598","73,996","42,158",125,"1,287","43,570",62.90%,51.50%,96.70%,95.20%,"21,036",179,685,"21,900","5,774","27,674","9,759","2,036"
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,"36,982","2,286","22,314","61,582","16,777","1,450","18,416","36,643","9,727",35,583,"10,345",78.00%,63.30%,97.60%,96.90%,"12,230",9,5,"12,244","5,609","17,853","4,041",245
QE1,NHS Lancashire And South Cumbria Integrated Care Board,"39,917",0,"28,324","68,241","24,840",0,"27,607","52,447","15,077",0,717,"15,794",76.90%,62.20%,-,97.50%,"12,388",0,206,"12,594","5,471","18,065","5,449","2,382"
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,"18,012",0,"5,585","23,597","9,028",0,"5,580","14,608","8,984",0,5,"8,989",61.90%,50.10%,-,99.90%,"4,821",0,0,"4,821","1,966","6,787","1,772",608
QM7,NHS Hertfordshire And West Essex Integrated Care Board,"28,356",0,"16,544","44,900","12,996",0,"16,086","29,082","15,360",0,458,"15,818",64.80%,45.80%,-,97.20%,"8,129",0,0,"8,129","1,367","9,496","2,172",238
QOQ,NHS Humber And North Yorkshire Integrated Care Board,"38,231",427,"21,694","60,352","20,140",427,"20,088","40,655","18,091",0,"1,606","19,697",67.40%,52.70%,100.00%,92.60%,"12,856",5,0,"12,861","4,900","17,761","5,089","2,355"
QJ2,NHS Derby And Derbyshire Integrated Care Board,"21,545",0,"25,651","47,196","8,586",0,"23,851","32,437","12,959",0,"1,800","14,759",68.70%,39.90%,-,93.00%,"6,400",0,378,"6,778","2,986","9,764","2,835",765
QKS,NHS Kent And Medway Integrated Care Board,"50,957",0,"40,507","91,464","33,618",0,"39,251","72,869","17,339",0,"1,256","18,595",79.70%,66.00%,-,96.90%,"14,461",0,386,"14,847","4,378","19,225","4,022","1,752"
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board","20,349","1,834","12,492","34,675","10,645","1,743","12,443","24,831","9,704",91,49,"9,844",71.60%,52.30%,95.00%,99.60%,"5,201",2,0,"5,203","3,525","8,728","2,667","1,155"
QJM,NHS Lincolnshire Integrated Care Board,"12,636",0,"13,896","26,532","5,507",0,"12,953","18,460","7,129",0,943,"8,072",69.60%,43.60%,-,93.20%,"4,005",0,0,"4,005","1,120","5,125","1,814",721
QH8,NHS Mid And South Essex Integrated Care Board,"31,125",0,"2,169","33,294","18,997",0,"2,066","21,063","12,128",0,103,"12,231",63.30%,61.00%,-,95.30%,"8,187",0,199,"8,386","1,241","9,627","2,875",27
QMM,NHS Norfolk And Waveney Integrated Care Board,"24,081",0,"10,921","35,002","13,912",0,"10,920","24,832","10,169",0,1,"10,170",70.90%,57.80%,-,100.00%,"6,412",0,0,"6,412","2,789","9,201","3,709","1,322"
QMJ,NHS North Central London Integrated Care Board,"48,869","6,648","15,990","71,507","28,085","6,585","14,265","48,935","20,784",63,"1,725","22,572",68.40%,57.50%,99.10%,89.20%,"7,800",11,0,"7,811","1,242","9,053","3,992","1,586"
QRV,NHS North West London Integrated Care Board,"51,620","4,073","41,864","97,557","9,617",0,"28,791","38,408","9,790",0,987,"10,777",78.10%,49.60%,-,96.70%,"14,105",0,0,"14,105","3,240","17,345","4,336",582
QPM,NHS Northamptonshire Integrated Care Board,"18,402",703,"10,997","30,102","4,951",699,"10,788","16,438","3,926",4,209,"4,139",79.90%,55.80%,99.40%,98.10%,"3,929",0,0,"3,929","1,576","5,505","2,440",573
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,"26,286","2,276","11,121","39,683","6,353",0,"9,881","16,234","3,766",0,898,"4,664",77.70%,62.80%,-,91.70%,"7,364",0,0,"7,364","4,156","11,520","2,701",910
QKK,NHS South East London Integrated Care Board,"41,776",852,"38,505","81,133","21,839",852,"34,655","57,346","19,937",0,"3,850","23,787",70.70%,52.30%,100.00%,90.00%,"10,895",0,0,"10,895","2,701","13,596","4,574","2,053"
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board","10,090",0,"5,210","15,300","4,701",0,"4,970","9,671","5,389",0,240,"5,629",63.20%,46.60%,-,95.40%,"2,566",0,51,"2,617","2,179","4,796","1,261",817
QSL,NHS Somerset Integrated Care Board,"12,210",0,"8,568","20,778","7,596",0,"8,281","15,877","4,614",0,287,"4,901",76.40%,62.20%,-,96.70%,"3,653",0,0,"3,653","1,908","5,561",710,39
QWE,NHS South West London Integrated Care Board,"43,003",320,"15,757","59,080","28,663",319,"15,484","44,466","14,340",1,273,"14,614",75.30%,66.70%,99.70%,98.30%,"7,662",4,165,"7,831","1,934","9,765","3,370","1,526"
QF7,NHS South Yorkshire Integrated Care Board,"43,020","1,185","12,051","56,256","21,740","1,185","11,898","34,823","13,498",0,153,"13,651",71.80%,61.70%,100.00%,98.70%,"12,823",0,349,"13,172","5,431","18,603","3,561",131
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,"13,868",507,"8,100","22,475","6,678",507,"7,938","15,123","7,190",0,162,"7,352",67.30%,48.20%,100.00%,98.00%,"5,516",0,0,"5,516","3,031","8,547","1,832",906
QJG,NHS Suffolk And North East Essex Integrated Care Board,"20,991",0,"11,754","32,745","6,533",0,"10,796","17,329","7,706",0,185,"7,891",68.70%,45.90%,-,98.30%,"6,498",0,285,"6,783","1,859","8,642","2,803",745
QXU,NHS Surrey Heartlands Integrated Care Board,"25,806",0,"8,455","34,261","15,302",0,"8,130","23,432","10,504",0,325,"10,829",68.40%,59.30%,-,96.20%,"8,169",0,0,"8,169","2,907","11,076","2,447",540
QNX,NHS Sussex Integrated Care Board,"34,867","1,532","23,374","59,773","20,580","1,531","23,020","45,131","14,287",1,354,"14,642",75.50%,59.00%,99.90%,98.50%,"10,841",29,55,"10,925","2,740","13,665","3,079",951
QUA,NHS Black Country Integrated Care Board,"44,912","1,131","32,141","78,184","26,318","1,009","31,132","58,459","18,594",122,"1,009","19,725",74.80%,58.60%,89.20%,96.90%,"15,791",0,0,"15,791","4,014","19,805","4,792",518
QWO,NHS West Yorkshire Integrated Care Board,"64,214",301,"20,926","85,441","29,578",301,"15,148","45,027","18,377",0,24,"18,401",71.00%,61.70%,100.00%,99.80%,"14,671",0,247,"14,918","5,392","20,310","7,046",516
