Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QJK,NHS Devon Integrated Care Board,"28,326",253,"14,756","43,335","12,991",253,"13,924","27,168","15,335",0,832,"16,167",62.70%,45.90%,100.00%,94.40%,"7,860",0,0,"7,860","4,240","12,100","2,662",552
QVV,NHS Dorset Integrated Care Board,"18,220",0,"7,656","25,876","9,957",0,"7,651","17,608","8,263",0,5,"8,268",68.00%,54.60%,-,99.90%,"5,737",7,4,"5,748","2,614","8,362",662,41
QMF,NHS North East London Integrated Care Board,"45,657","3,378","33,729","82,764","27,573","2,726","25,957","56,256","18,084",652,"7,772","26,508",68.00%,60.40%,80.70%,77.00%,"13,063",0,0,"13,063","1,731","14,794","3,332","1,009"
QNQ,NHS Frimley Integrated Care Board,"22,093",0,"2,811","24,904","12,508",0,"2,656","15,164","9,585",0,155,"9,740",60.90%,56.60%,-,94.50%,"5,784",0,0,"5,784",302,"6,086","1,728",0
QR1,NHS Gloucestershire Integrated Care Board,"13,143",0,"7,464","20,607","7,849",0,"7,423","15,272","5,294",0,41,"5,335",74.10%,59.70%,-,99.50%,"2,640",0,0,"2,640","1,618","4,258","1,533","1,001"
QOP,NHS Greater Manchester Integrated Care Board,"84,038","3,748","31,502","119,288","51,706","3,610","29,203","84,519","32,332",138,"2,299","34,769",70.90%,61.50%,96.30%,92.70%,"21,308",184,785,"22,277","5,299","27,576","6,983","1,082"
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,"37,777","2,171","24,026","63,974","23,347","2,106","23,307","48,760","14,430",65,719,"15,214",76.20%,61.80%,97.00%,97.00%,"11,775",13,6,"11,794","5,320","17,114","2,774",245
QE1,NHS Lancashire And South Cumbria Integrated Care Board,"40,394",0,"31,397","71,791","25,058",0,"30,096","55,154","15,336",0,"1,301","16,637",76.80%,62.00%,-,95.90%,"11,232",0,257,"11,489","4,463","15,952","4,959","2,058"
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,"18,565",0,"6,639","25,204","9,832",0,"6,610","16,442","8,733",0,29,"8,762",65.20%,53.00%,-,99.60%,"4,804",0,0,"4,804","1,814","6,618","1,564",545
QM7,NHS Hertfordshire And West Essex Integrated Care Board,"27,633",0,"18,457","46,090","13,498",0,"17,768","31,266","14,135",0,689,"14,824",67.80%,48.80%,-,96.30%,"8,063",0,0,"8,063","1,528","9,591","1,679",144
QOQ,NHS Humber And North Yorkshire Integrated Care Board,"39,888",342,"22,651","62,881","23,119",342,"20,700","44,161","16,769",0,"1,951","18,720",70.20%,58.00%,100.00%,91.40%,"12,826",0,0,"12,826","4,277","17,103","4,084","1,364"
QJ2,NHS Derby And Derbyshire Integrated Care Board,"22,486",0,"27,838","50,324","11,228",0,"26,632","37,860","11,258",0,"1,206","12,464",75.20%,49.90%,-,95.70%,"6,569",0,403,"6,972","2,763","9,735","1,848",242
QKS,NHS Kent And Medway Integrated Care Board,"49,371",0,"41,081","90,452","35,044",0,"39,364","74,408","14,327",0,"1,717","16,044",82.30%,71.00%,-,95.80%,"14,821",0,385,"15,206","4,163","19,369","3,902","1,119"
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board","20,875","1,832","12,055","34,762","11,812","1,730","11,987","25,529","9,063",102,68,"9,233",73.40%,56.60%,94.40%,99.40%,"4,958",7,0,"4,965","3,219","8,184","2,290",910
QJM,NHS Lincolnshire Integrated Care Board,"12,416",0,"15,023","27,439","5,546",0,"13,534","19,080","6,870",0,"1,489","8,359",69.50%,44.70%,-,90.10%,"4,101",0,0,"4,101","1,180","5,281","1,886",702
QH8,NHS Mid And South Essex Integrated Care Board,"31,666",0,"2,014","33,680","20,916",0,"1,910","22,826","10,750",0,104,"10,854",67.80%,66.10%,-,94.80%,"8,352",0,251,"8,603","1,308","9,911","2,440",7
QMM,NHS Norfolk And Waveney Integrated Care Board,"25,250",0,"9,492","34,742","15,727",0,"9,483","25,210","9,523",0,9,"9,532",72.60%,62.30%,-,99.90%,"6,129",0,0,"6,129","2,641","8,770","3,086",855
QMJ,NHS North Central London Integrated Care Board,"47,048","7,114","15,581","69,743","29,656","7,067","14,035","50,758","17,392",47,"1,546","18,985",72.80%,63.00%,99.30%,90.10%,"7,920",8,0,"7,928","1,336","9,264","3,445","1,343"
QRV,NHS North West London Integrated Care Board,"51,134","4,086","48,985","104,205","30,617","4,063","47,857","82,537","20,517",23,"1,128","21,668",79.20%,59.90%,99.40%,97.70%,"13,734",0,0,"13,734","3,281","17,015","3,018",281
QPM,NHS Northamptonshire Integrated Care Board,"18,637",702,"10,795","30,134","10,307",689,"10,646","21,642","8,330",13,149,"8,492",71.80%,55.30%,98.10%,98.60%,"3,813",0,0,"3,813","1,390","5,203","2,087",582
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,"26,079","2,030","10,624","38,733","13,445","1,842","10,039","25,326","12,634",188,585,"13,407",65.40%,51.60%,90.70%,94.50%,"7,019",0,0,"7,019","4,171","11,190","2,372",760
QKK,NHS South East London Integrated Care Board,"40,658",823,"38,340","79,821","23,828",823,"35,380","60,031","16,830",0,"2,960","19,790",75.20%,58.60%,100.00%,92.30%,"10,983",0,0,"10,983","2,694","13,677","3,285",798
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board","10,875",0,"6,200","17,075","5,044",0,"5,854","10,898","5,831",0,346,"6,177",63.80%,46.40%,-,94.40%,"2,661",0,47,"2,708","2,116","4,824","1,098",525
QSL,NHS Somerset Integrated Care Board,"12,472",0,"9,355","21,827","7,326",0,"9,069","16,395","5,146",0,286,"5,432",75.10%,58.70%,-,96.90%,"3,193",0,0,"3,193","1,638","4,831",450,21
QWE,NHS South West London Integrated Care Board,"42,928",341,"15,896","59,165","27,324",341,"15,612","43,277","15,604",0,284,"15,888",73.10%,63.70%,100.00%,98.20%,"7,395",4,136,"7,535","1,596","9,131","3,718","1,765"
QF7,NHS South Yorkshire Integrated Care Board,"44,118","1,160","12,168","57,446","28,418","1,160","11,880","41,458","15,700",0,288,"15,988",72.20%,64.40%,100.00%,97.60%,"12,984",0,385,"13,369","5,479","18,848","2,757",62
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,"14,202",446,"8,367","23,015","7,251",446,"8,141","15,838","6,951",0,226,"7,177",68.80%,51.10%,100.00%,97.30%,"5,705",0,0,"5,705","2,840","8,545","1,755",696
QJG,NHS Suffolk And North East Essex Integrated Care Board,"21,084",0,"12,189","33,273","12,197",0,"12,081","24,278","8,887",0,108,"8,995",73.00%,57.80%,-,99.10%,"6,361",0,251,"6,612","1,597","8,209","1,649",175
QXU,NHS Surrey Heartlands Integrated Care Board,"26,494",0,"6,957","33,451","17,565",0,"6,450","24,015","8,929",0,507,"9,436",71.80%,66.30%,-,92.70%,"8,104",0,0,"8,104","2,456","10,560","1,783",216
QNX,NHS Sussex Integrated Care Board,"35,229","1,528","26,732","63,489","22,391","1,519","26,151","50,061","12,838",9,581,"13,428",78.80%,63.60%,99.40%,97.80%,"11,236",32,58,"11,326","2,569","13,895","2,108",591
QUA,NHS Black Country Integrated Care Board,"46,776","1,432","30,757","78,965","28,244","1,200","29,779","59,223","18,532",232,978,"19,742",75.00%,60.40%,83.80%,96.80%,"15,662",0,0,"15,662","3,866","19,528","3,404",111
QWO,NHS West Yorkshire Integrated Care Board,"64,364",259,"22,830","87,453","42,571",259,"22,489","65,319","21,793",0,341,"22,134",74.70%,66.10%,100.00%,98.50%,"14,443",0,272,"14,715","5,097","19,812","5,374",135
