Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QJK,NHS Devon Integrated Care Board,"25,394",217,"12,561","38,172","7,901",0,"8,487","16,388","9,747",0,216,"9,963",62.20%,44.80%,-,97.50%,"7,158",0,"1,069","8,227","3,434","11,661","3,197","1,381"
QVV,NHS Dorset Integrated Care Board,"17,248",0,"2,556","19,804","2,403",0,"2,552","4,955","1,784",0,4,"1,788",73.50%,57.40%,-,99.80%,"4,936",4,1,"4,941","2,552","7,493","1,199",159
QMF,NHS North East London Integrated Care Board,"47,313","3,225","34,379","84,917","24,161","2,708","27,581","54,450","23,152",517,"6,798","30,467",64.10%,51.10%,84.00%,80.20%,"11,012",0,0,"11,012","1,932","12,944","5,954","1,629"
QNQ,NHS Frimley Integrated Care Board,"21,153",0,"2,443","23,596",0,0,"2,393","2,393",0,0,50,50,98.00%,-,-,98.00%,"5,398",0,0,"5,398","1,406","6,804","2,236",0
QR1,NHS Gloucestershire Integrated Care Board,"12,229",0,"5,823","18,052","7,188",0,"5,792","12,980","5,041",0,31,"5,072",71.90%,58.80%,-,99.50%,"2,609",0,0,"2,609","1,409","4,018","1,082",658
QOP,NHS Greater Manchester Integrated Care Board,"88,822","3,870","26,371","119,063","39,699","3,770","24,163","67,632","49,123",100,"2,208","51,431",56.80%,44.70%,97.40%,91.60%,"21,062",215,663,"21,940","5,112","27,052","10,780","2,223"
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,"37,032","2,079","21,660","60,771","16,145","1,334","17,950","35,429","10,790",36,478,"11,304",75.80%,59.90%,97.40%,97.40%,"11,441",13,1,"11,455","5,361","16,816","3,721",197
QE1,NHS Lancashire And South Cumbria Integrated Care Board,"38,611",0,"28,063","66,674","23,658",0,"27,248","50,906","14,953",0,815,"15,768",76.40%,61.30%,-,97.10%,"11,950",0,141,"12,091","5,352","17,443","5,425","2,179"
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,"17,475",0,"5,120","22,595","8,975",0,"5,111","14,086","8,500",0,9,"8,509",62.30%,51.40%,-,99.80%,"4,893",0,0,"4,893","1,788","6,681","1,956",574
QM7,NHS Hertfordshire And West Essex Integrated Care Board,"28,540",0,"16,246","44,786","12,216",0,"15,349","27,565","16,324",0,897,"17,221",61.50%,42.80%,-,94.50%,"7,608",0,0,"7,608","1,556","9,164","2,608",192
QOQ,NHS Humber And North Yorkshire Integrated Care Board,"36,820",419,"20,376","57,615","19,320",419,"19,005","38,744","17,500",0,"1,371","18,871",67.20%,52.50%,100.00%,93.30%,"12,119",8,0,"12,127","4,961","17,088","4,811","2,106"
QJ2,NHS Derby And Derbyshire Integrated Care Board,"19,207",0,"29,149","48,356","7,469",0,"26,056","33,525","11,738",0,"3,093","14,831",69.30%,38.90%,-,89.40%,"5,538",0,"1,170","6,708","2,726","9,434","2,228",371
QKS,NHS Kent And Medway Integrated Care Board,"56,328",0,"31,685","88,013","37,061",0,"30,173","67,234","19,267",0,"1,512","20,779",76.40%,65.80%,-,95.20%,"13,514",0,370,"13,884","4,171","18,055","4,319","1,319"
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board","21,639","1,699","12,119","35,457","10,265","1,646","11,261","23,172","11,374",53,858,"12,285",65.40%,47.40%,96.90%,92.90%,"4,926",2,0,"4,928","3,345","8,273","2,725","1,110"
QJM,NHS Lincolnshire Integrated Care Board,"11,949",0,"13,363","25,312","5,495",0,"12,748","18,243","6,454",0,615,"7,069",72.10%,46.00%,-,95.40%,"3,965",0,0,"3,965","1,031","4,996","1,923",560
QH8,NHS Mid And South Essex Integrated Care Board,"30,467",0,"2,389","32,856","18,186",0,"2,030","20,216","12,281",0,359,"12,640",61.50%,59.70%,-,85.00%,"8,208",0,262,"8,470","1,134","9,604","2,716",15
QMM,NHS Norfolk And Waveney Integrated Care Board,"24,035",0,"10,349","34,384","13,681",0,"10,349","24,030","10,354",0,0,"10,354",69.90%,56.90%,-,100.00%,"6,239",0,0,"6,239","2,536","8,775","3,672","1,436"
QMJ,NHS North Central London Integrated Care Board,"54,560","5,939","12,338","72,837","32,357","5,861","10,690","48,908","22,203",78,"1,648","23,929",67.10%,59.30%,98.70%,86.60%,"7,216",8,0,"7,224","1,468","8,692","4,249","1,484"
QRV,NHS North West London Integrated Care Board,"51,854","3,731","50,642","106,227","8,670",0,"29,160","37,830","10,409",0,"4,933","15,342",71.10%,45.40%,-,85.50%,"13,422",0,0,"13,422","3,490","16,912","4,657",601
QPM,NHS Northamptonshire Integrated Care Board,"18,508",682,"10,773","29,963","5,014",672,"10,458","16,144","4,158",10,315,"4,483",78.30%,54.70%,98.50%,97.10%,"3,726",0,0,"3,726","1,909","5,635","2,134",585
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,"26,691","1,778","10,105","38,574","6,591",0,"8,901","15,492","3,338",0,986,"4,324",78.20%,66.40%,-,90.00%,"7,006",0,0,"7,006","3,886","10,892","2,201",518
QKK,NHS South East London Integrated Care Board,"42,377",756,"38,623","81,756","21,270",756,"33,637","55,663","21,107",0,"4,986","26,093",68.10%,50.20%,100.00%,87.10%,"10,744",0,0,"10,744","2,788","13,532","4,509","1,530"
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board","10,375",0,"4,762","15,137","4,261",0,"4,456","8,717","6,114",0,306,"6,420",57.60%,41.10%,-,93.60%,"2,727",0,45,"2,772","1,899","4,671","1,649","1,090"
QSL,NHS Somerset Integrated Care Board,"12,267",0,"7,930","20,197","7,493",0,"7,741","15,234","4,774",0,189,"4,963",75.40%,61.10%,-,97.60%,"3,414",0,0,"3,414","1,660","5,074",671,33
QWE,NHS South West London Integrated Care Board,"44,186",308,"15,372","59,866","29,500",308,"15,106","44,914","14,686",0,266,"14,952",75.00%,66.80%,100.00%,98.30%,"7,446",2,183,"7,631","1,787","9,418","3,627","1,909"
QF7,NHS South Yorkshire Integrated Care Board,"45,035","1,047","13,213","59,295","21,872","1,047","12,993","35,912","15,168",0,220,"15,388",70.00%,59.00%,100.00%,98.30%,"12,438",0,603,"13,041","4,948","17,989","4,222",298
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,"13,916",436,"8,264","22,616","6,006",436,"7,808","14,250","7,910",0,456,"8,366",63.00%,43.20%,100.00%,94.50%,"5,061",0,0,"5,061","2,750","7,811","1,740",947
QJG,NHS Suffolk And North East Essex Integrated Care Board,"21,432",0,"11,419","32,851","6,541",0,"10,491","17,032","7,991",0,174,"8,165",67.60%,45.00%,-,98.40%,"5,979",0,256,"6,235","2,401","8,636","2,641",541
QXU,NHS Surrey Heartlands Integrated Care Board,"27,156",0,"8,811","35,967","15,413",0,"8,235","23,648","11,743",0,576,"12,319",65.70%,56.80%,-,93.50%,"7,466",0,0,"7,466","2,897","10,363","2,305",440
QNX,NHS Sussex Integrated Care Board,"29,813","1,492","27,994","59,299","14,535","1,471","25,508","41,514","15,278",21,"2,486","17,785",70.00%,48.80%,98.60%,91.10%,"9,070",38,208,"9,316","2,726","12,042","2,775","1,010"
QUA,NHS Black Country Integrated Care Board,"46,797","1,026","34,333","82,156","28,433",909,"32,057","61,399","18,364",117,"2,276","20,757",74.70%,60.80%,88.60%,93.40%,"15,297",0,0,"15,297","3,767","19,064","4,557",304
QWO,NHS West Yorkshire Integrated Care Board,"68,101",273,"21,607","89,981","29,387",273,"15,309","44,969","21,000",0,40,"21,040",68.10%,58.30%,100.00%,99.70%,"14,626",0,203,"14,829","5,772","20,601","6,749",982
