Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QJK,NHS Devon Integrated Care Board,"26,037",217,"13,337","39,591","8,244",0,"8,873","17,117","10,086",0,289,"10,375",62.30%,45.00%,-,96.80%,"7,067",0,"1,023","8,090","3,351","11,441","3,160","1,390"
QVV,NHS Dorset Integrated Care Board,"18,182",0,"2,960","21,142","2,304",0,"2,952","5,256","2,202",0,8,"2,210",70.40%,51.10%,-,99.70%,"4,782",4,1,"4,787","2,463","7,250","1,582",319
QMF,NHS North East London Integrated Care Board,"47,402","3,175","33,630","84,207","24,806","2,769","27,322","54,897","22,596",406,"6,308","29,310",65.20%,52.30%,87.20%,81.20%,"11,272",0,0,"11,272","2,006","13,278","6,326","1,776"
QNQ,NHS Frimley Integrated Care Board,"21,325",0,"4,122","25,447",0,0,"4,112","4,112",0,0,10,10,99.80%,-,-,99.80%,"5,707",0,0,"5,707","1,370","7,077","2,047",10
QR1,NHS Gloucestershire Integrated Care Board,"12,633",0,"6,084","18,717","7,614",0,"6,066","13,680","5,019",0,18,"5,037",73.10%,60.30%,-,99.70%,"2,388",0,0,"2,388","1,447","3,835","1,000",653
QOP,NHS Greater Manchester Integrated Care Board,"87,784","3,473","26,834","118,091","39,665","3,016","24,925","67,606","48,119",457,"1,909","50,485",57.20%,45.20%,86.80%,92.90%,"21,440",234,717,"22,391","4,971","27,362","11,062","2,688"
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,"36,881","1,992","22,546","61,419","15,800","1,291","18,873","35,964","11,318",19,340,"11,677",75.50%,58.30%,98.50%,98.20%,"11,331",16,2,"11,349","5,213","16,562","3,922",195
QE1,NHS Lancashire And South Cumbria Integrated Care Board,"39,339",0,"27,608","66,947","23,324",0,"27,025","50,349","16,015",0,583,"16,598",75.20%,59.30%,-,97.90%,"11,555",0,132,"11,687","5,037","16,724","5,861","2,705"
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,"18,045",0,"5,569","23,614","9,132",0,"5,561","14,693","8,913",0,8,"8,921",62.20%,50.60%,-,99.90%,"4,843",0,0,"4,843","1,762","6,605","2,000",657
QM7,NHS Hertfordshire And West Essex Integrated Care Board,"28,444",0,"16,888","45,332","12,830",0,"16,170","29,000","15,614",0,718,"16,332",64.00%,45.10%,-,95.70%,"7,276",0,0,"7,276","1,802","9,078","2,690",338
QOQ,NHS Humber And North Yorkshire Integrated Care Board,"37,170",380,"21,068","58,618","19,769",380,"19,408","39,557","17,401",0,"1,660","19,061",67.50%,53.20%,100.00%,92.10%,"12,214",5,0,"12,219","4,378","16,597","4,992","2,375"
QJ2,NHS Derby And Derbyshire Integrated Care Board,"18,268",0,"29,056","47,324","6,962",0,"25,934","32,896","11,306",0,"3,122","14,428",69.50%,38.10%,-,89.30%,"5,524",0,"1,148","6,672","2,383","9,055","2,856",889
QKS,NHS Kent And Medway Integrated Care Board,"56,434",0,"31,824","88,258","36,873",0,"30,681","67,554","19,561",0,"1,143","20,704",76.50%,65.30%,-,96.40%,"13,437",0,374,"13,811","4,001","17,812","4,625","1,533"
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board","21,083","1,620","11,280","33,983","10,443","1,560","10,664","22,667","10,640",60,616,"11,316",66.70%,49.50%,96.30%,94.50%,"4,963",1,0,"4,964","3,200","8,164","2,649",981
QJM,NHS Lincolnshire Integrated Care Board,"11,975",0,"13,715","25,690","5,338",0,"13,038","18,376","6,637",0,677,"7,314",71.50%,44.60%,-,95.10%,"3,816",0,0,"3,816",998,"4,814","2,132","1,114"
QH8,NHS Mid And South Essex Integrated Care Board,"30,741",0,"2,058","32,799","18,626",0,"1,788","20,414","12,115",0,270,"12,385",62.20%,60.60%,-,86.90%,"8,051",0,243,"8,294","1,070","9,364","2,975",8
QMM,NHS Norfolk And Waveney Integrated Care Board,"24,392",0,"10,763","35,155","12,819",0,"10,762","23,581","11,573",0,1,"11,574",67.10%,52.60%,-,100.00%,"5,912",0,0,"5,912","2,402","8,314","3,568","1,754"
QMJ,NHS North Central London Integrated Care Board,"54,751","6,117","11,995","72,863","32,109","6,084","10,230","48,423","22,642",33,"1,765","24,440",66.50%,58.60%,99.50%,85.30%,"7,447",13,0,"7,460","1,360","8,820","4,506","1,722"
QRV,NHS North West London Integrated Care Board,"52,523","3,709","52,672","108,904","8,417",0,"31,507","39,924","10,812",0,"4,437","15,249",72.40%,43.80%,-,87.70%,"13,281",0,0,"13,281","3,406","16,687","5,043",727
QPM,NHS Northamptonshire Integrated Care Board,"20,609",605,"10,243","31,457","7,707",598,"10,059","18,364","3,904",7,184,"4,095",81.80%,66.40%,98.80%,98.20%,"3,723",0,0,"3,723","1,966","5,689","2,257",700
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,"25,774","1,750","10,082","37,606","6,652",0,"8,953","15,605","3,195",0,896,"4,091",79.20%,67.60%,-,90.90%,"7,114",0,0,"7,114","3,440","10,554","2,220",784
QKK,NHS South East London Integrated Care Board,"43,633",686,"39,068","83,387","22,920",686,"35,662","59,268","20,713",0,"3,406","24,119",71.10%,52.50%,100.00%,91.30%,"10,759",0,0,"10,759","2,814","13,573","4,984","1,854"
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board","10,639",0,"4,947","15,586","4,386",0,"4,696","9,082","6,253",0,251,"6,504",58.30%,41.20%,-,94.90%,"2,808",0,42,"2,850","1,658","4,508","1,703",972
QSL,NHS Somerset Integrated Care Board,"12,723",0,"8,349","21,072","6,913",0,"8,098","15,011","5,810",0,251,"6,061",71.20%,54.30%,-,97.00%,"3,315",0,0,"3,315","1,601","4,916",840,177
QWE,NHS South West London Integrated Care Board,"43,149",246,"16,237","59,632","28,426",246,"15,998","44,670","14,723",0,239,"14,962",74.90%,65.90%,100.00%,98.50%,"7,507",1,194,"7,702","1,720","9,422","3,834","2,023"
QF7,NHS South Yorkshire Integrated Care Board,"44,030","1,009","13,254","58,293","22,596","1,009","13,037","36,642","13,638",0,217,"13,855",72.60%,62.40%,100.00%,98.40%,"12,463",0,565,"13,028","4,268","17,296","4,449",398
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,"13,947",418,"8,120","22,485","6,234",418,"7,778","14,430","7,713",0,342,"8,055",64.20%,44.70%,100.00%,95.80%,"5,031",0,0,"5,031","2,313","7,344","1,885","1,028"
QJG,NHS Suffolk And North East Essex Integrated Care Board,"22,065",0,"11,641","33,706","6,578",0,"10,859","17,437","8,265",0,164,"8,429",67.40%,44.30%,-,98.50%,"5,957",0,278,"6,235","2,286","8,521","3,080",555
QXU,NHS Surrey Heartlands Integrated Care Board,"27,135",0,"8,828","35,963","13,727",0,"8,282","22,009","13,408",0,546,"13,954",61.20%,50.60%,-,93.80%,"7,279",0,0,"7,279","2,779","10,058","2,669",439
QNX,NHS Sussex Integrated Care Board,"30,862","1,472","28,982","61,316","15,246","1,468","26,122","42,836","15,616",4,"2,860","18,480",69.90%,49.40%,99.70%,90.10%,"8,718",32,281,"9,031","2,618","11,649","3,161","1,261"
QUA,NHS Black Country Integrated Care Board,"47,267","1,181","33,444","81,892","29,198","1,048","32,345","62,591","18,069",133,"1,099","19,301",76.40%,61.80%,88.70%,96.70%,"15,367",0,0,"15,367","3,643","19,010","4,970",432
QWO,NHS West Yorkshire Integrated Care Board,"66,783",312,"20,250","87,345","30,295",312,"14,244","44,851","19,532",0,28,"19,560",69.60%,60.80%,100.00%,99.80%,"14,362",0,242,"14,604","5,086","19,690","6,536","1,141"
