Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QMF,NHS North East London Integrated Care Board,"42,918","3,123","32,505","78,546","23,595","2,526","27,749","53,870","19,323",597,"4,756","24,676",68.60%,55.00%,80.90%,85.40%,"10,895",0,0,"10,895","1,848","12,743","5,975","1,712"
QNQ,NHS Frimley Integrated Care Board,"18,519",0,"2,809","21,328",0,0,"2,770","2,770",0,0,39,39,98.60%,-,-,98.60%,"5,014",0,0,"5,014","1,308","6,322","1,906",112
QR1,NHS Gloucestershire Integrated Care Board,"10,973",0,"5,589","16,562","6,596",0,"5,572","12,168","4,377",0,17,"4,394",73.50%,60.10%,-,99.70%,"2,421",0,0,"2,421","1,499","3,920","1,041",710
QOP,NHS Greater Manchester Integrated Care Board,"74,591","4,058","23,629","102,278","37,721","3,867","22,651","64,239","36,870",191,978,"38,039",62.80%,50.60%,95.30%,95.90%,"21,406",228,611,"22,245","5,440","27,685","10,085","2,575"
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,"33,431","1,902","20,376","55,709","15,004","1,234","16,540","32,778","9,022",22,675,"9,719",77.10%,62.40%,98.20%,96.10%,"12,081",21,6,"12,108","5,475","17,583","3,032",151
QE1,NHS Lancashire And South Cumbria Integrated Care Board,"35,344",0,"26,048","61,392","21,850",0,"25,624","47,474","13,494",0,424,"13,918",77.30%,61.80%,-,98.40%,"11,759",0,159,"11,918","5,006","16,924","5,572","2,197"
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,"16,161",0,"4,819","20,980","8,542",0,"4,814","13,356","7,619",0,5,"7,624",63.70%,52.90%,-,99.90%,"4,781",0,0,"4,781","1,952","6,733","1,800",617
QM7,NHS Hertfordshire And West Essex Integrated Care Board,"25,240",0,"14,982","40,222","11,988",0,"14,657","26,645","13,252",0,325,"13,577",66.20%,47.50%,-,97.80%,"7,331",0,0,"7,331","1,530","8,861","2,786",225
QOQ,NHS Humber And North Yorkshire Integrated Care Board,"34,159",355,"19,597","54,111","18,514",355,"18,573","37,442","15,645",0,"1,024","16,669",69.20%,54.20%,100.00%,94.80%,"12,111",0,0,"12,111","4,937","17,048","4,817","2,107"
QJ2,NHS Derby And Derbyshire Integrated Care Board,"19,090",0,"25,094","44,184","8,040",0,"23,468","31,508","11,050",0,"1,626","12,676",71.30%,42.10%,-,93.50%,"6,168",0,475,"6,643","2,982","9,625","2,405",733
QKS,NHS Kent And Medway Integrated Care Board,"51,109",0,"30,416","81,525","34,918",0,"29,704","64,622","16,191",0,712,"16,903",79.30%,68.30%,-,97.70%,"13,284",0,432,"13,716","4,251","17,967","4,250","1,680"
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board","18,573","1,653","12,262","32,488","9,966","1,593","11,955","23,514","8,607",60,307,"8,974",72.40%,53.70%,96.40%,97.50%,"4,957",0,0,"4,957","3,467","8,424","2,348",880
QJM,NHS Lincolnshire Integrated Care Board,"11,501",0,"12,942","24,443","5,197",0,"12,405","17,602","6,304",0,537,"6,841",72.00%,45.20%,-,95.90%,"4,000",0,0,"4,000","1,054","5,054","1,808",647
QH8,NHS Mid And South Essex Integrated Care Board,"27,027",0,"1,875","28,902","16,857",0,"1,748","18,605","10,170",0,127,"10,297",64.40%,62.40%,-,93.20%,"8,344",0,219,"8,563","1,232","9,795","3,240",35
QMM,NHS Norfolk And Waveney Integrated Care Board,"21,494",0,"10,210","31,704","12,753",0,"10,204","22,957","8,741",0,6,"8,747",72.40%,59.30%,-,99.90%,"6,102",0,0,"6,102","2,529","8,631","3,398","1,522"
QMJ,NHS North Central London Integrated Care Board,"47,805","5,981","10,293","64,079","29,522","5,962","9,267","44,751","18,283",19,"1,026","19,328",69.80%,61.80%,99.70%,90.00%,"7,317",10,0,"7,327","1,191","8,518","4,172","2,031"
QRV,NHS North West London Integrated Care Board,"47,354","3,591","43,063","94,008","9,194",0,"26,864","36,058","8,798",0,"1,751","10,549",77.40%,51.10%,-,93.90%,"13,403",0,0,"13,403","3,260","16,663","4,674",640
QPM,NHS Northamptonshire Integrated Care Board,"16,401",665,"10,057","27,123","4,443",656,"9,917","15,016","3,445",9,140,"3,594",80.70%,56.30%,98.60%,98.60%,"3,859",0,0,"3,859","1,587","5,446","2,023",453
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,"23,635","1,881","9,854","35,370","5,714",0,"9,247","14,961","3,540",0,410,"3,950",79.10%,61.70%,-,95.80%,"7,208",0,0,"7,208","4,011","11,219","2,801","1,144"
QKK,NHS South East London Integrated Care Board,"38,440",731,"34,441","73,612","20,505",731,"31,582","52,818","17,935",0,"2,859","20,794",71.80%,53.30%,100.00%,91.70%,"10,372",0,0,"10,372","2,862","13,234","4,499","1,807"
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board","9,098",0,"4,620","13,718","4,323",0,"4,449","8,772","4,775",0,171,"4,946",63.90%,47.50%,-,96.30%,"2,679",0,30,"2,709","2,110","4,819","1,221",629
QSL,NHS Somerset Integrated Care Board,"11,119",0,"7,772","18,891","6,729",0,"7,485","14,214","4,390",0,287,"4,677",75.20%,60.50%,-,96.30%,"3,248",0,0,"3,248","1,726","4,974",816,153
QWE,NHS South West London Integrated Care Board,"38,381",284,"14,044","52,709","26,555",284,"13,862","40,701","11,826",0,182,"12,008",77.20%,69.20%,100.00%,98.70%,"7,501",1,143,"7,645","1,761","9,406","3,807","2,090"
QF7,NHS South Yorkshire Integrated Care Board,"40,245","1,100","11,738","53,083","20,845","1,100","11,647","33,592","12,234",0,91,"12,325",73.20%,63.00%,100.00%,99.20%,"12,348",0,489,"12,837","5,175","18,012","3,952",472
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,"12,425",418,"7,613","20,456","5,379",418,"7,188","12,985","7,046",0,425,"7,471",63.50%,43.30%,100.00%,94.40%,"4,868",0,0,"4,868","2,969","7,837","1,699","1,039"
QJG,NHS Suffolk And North East Essex Integrated Care Board,"19,328",0,"10,616","29,944","6,935",0,"9,880","16,815","6,221",0,70,"6,291",72.80%,52.70%,-,99.30%,"6,116",0,264,"6,380","1,807","8,187","2,423",756
QXU,NHS Surrey Heartlands Integrated Care Board,"23,469",0,"7,708","31,177","14,782",0,"7,544","22,326","8,687",0,164,"8,851",71.60%,63.00%,-,97.90%,"7,408",0,0,"7,408","2,534","9,942","2,260",354
QNX,NHS Sussex Integrated Care Board,"31,021","1,413","21,977","54,411","18,193","1,413","21,633","41,239","12,828",0,344,"13,172",75.80%,58.60%,100.00%,98.40%,"9,251",29,47,"9,327","2,535","11,862","2,859","1,026"
QUA,NHS Black Country Integrated Care Board,"41,782","1,017","31,160","73,959","25,903",896,"30,172","56,971","15,879",121,988,"16,988",77.00%,62.00%,88.10%,96.80%,"15,035",0,0,"15,035","4,144","19,179","4,348",421
QWO,NHS West Yorkshire Integrated Care Board,"58,809",283,"19,041","78,133","28,268",283,"14,020","42,571","15,841",0,13,"15,854",72.90%,64.10%,100.00%,99.90%,"14,503",0,250,"14,753","5,096","19,849","6,215",758
