Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QNQ,NHS Frimley Integrated Care Board,"20,464",0,"3,501","23,965",0,0,"3,501","3,501",0,0,0,0,100.00%,-,-,100.00%,"4,168",0,0,"4,168",186,"4,354","1,771",0
QR1,NHS Gloucestershire Integrated Care Board,"12,610",0,"5,447","18,057","7,075",0,"5,432","12,507","5,535",0,15,"5,550",69.30%,56.10%,-,99.70%,"2,769",0,0,"2,769","1,187","3,956","1,138",629
QOP,NHS Greater Manchester Integrated Care Board,"91,480","2,928","24,178","118,586","48,140","2,890","23,296","74,326","43,340",38,882,"44,260",62.70%,52.60%,98.70%,96.40%,"22,143",31,379,"22,553","6,362","28,915","10,090","1,671"
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,"36,515","2,053","23,049","61,617","16,254","1,376","18,684","36,314","10,608",32,805,"11,445",76.00%,60.50%,97.70%,95.90%,"10,761",9,1,"10,771","5,327","16,098","3,507",61
QE1,NHS Lancashire And South Cumbria Integrated Care Board,"35,061",0,"34,062","69,123","20,239",0,"33,055","53,294","14,822",0,"1,007","15,829",77.10%,57.70%,-,97.00%,"11,015",0,510,"11,525","4,320","15,845","5,101","1,748"
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,"18,332",0,"5,607","23,939","9,639",0,"5,602","15,241","8,693",0,5,"8,698",63.70%,52.60%,-,99.90%,"4,569",0,0,"4,569","1,850","6,419","1,653",585
QM7,NHS Hertfordshire And West Essex Integrated Care Board,"28,315",0,"16,748","45,063","12,847",0,"16,060","28,907","15,468",0,688,"16,156",64.10%,45.40%,-,95.90%,"7,065",0,0,"7,065","1,761","8,826","2,744",368
QOQ,NHS Humber And North Yorkshire Integrated Care Board,"38,861",339,"22,527","61,727","21,396",339,"20,647","42,382","17,465",0,"1,880","19,345",68.70%,55.10%,100.00%,91.70%,"11,779",5,0,"11,784","4,489","16,273","4,815","1,923"
QJ2,NHS Derby And Derbyshire Integrated Care Board,"18,840",0,"29,664","48,504","8,317",0,"27,038","35,355","10,523",0,"2,626","13,149",72.90%,44.10%,-,91.10%,"5,807",0,"1,108","6,915","2,171","9,086","1,905",348
QKS,NHS Kent And Medway Integrated Care Board,"56,191",0,"31,886","88,077","37,524",0,"30,603","68,127","18,667",0,"1,283","19,950",77.30%,66.80%,-,96.00%,"14,101",0,429,"14,530","3,669","18,199","4,202","1,123"
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board","18,810","1,605","11,417","31,832","10,142","1,553","10,611","22,306","8,668",52,806,"9,526",70.10%,53.90%,96.80%,92.90%,"4,439",3,0,"4,442","2,833","7,275","2,311","1,117"
QJM,NHS Lincolnshire Integrated Care Board,"12,087",0,"14,662","26,749","5,537",0,"13,723","19,260","6,550",0,939,"7,489",72.00%,45.80%,-,93.60%,"3,809",0,0,"3,809","1,033","4,842","2,008",752
QH8,NHS Mid And South Essex Integrated Care Board,"30,591",0,"2,082","32,673","19,898",0,"1,766","21,664","10,693",0,316,"11,009",66.30%,65.00%,-,84.80%,"8,410",0,241,"8,651","1,198","9,849","2,309",10
QMM,NHS Norfolk And Waveney Integrated Care Board,"25,140",0,"10,364","35,504","12,844",0,"10,357","23,201","12,296",0,7,"12,303",65.30%,51.10%,-,99.90%,"6,103",0,0,"6,103","2,477","8,580","3,906","1,201"
QMJ,NHS North Central London Integrated Care Board,"53,852","6,045","11,385","71,282","32,636","6,023","9,786","48,445","21,216",22,"1,599","22,837",68.00%,60.60%,99.60%,86.00%,"7,387",5,0,"7,392","1,515","8,907","4,081","1,168"
QRV,NHS North West London Integrated Care Board,"50,487","3,822","51,227","105,536","9,620",0,"30,947","40,567","8,508",0,"3,478","11,986",77.20%,53.10%,-,89.90%,"13,259",0,0,"13,259","3,417","16,676","4,529",578
QPM,NHS Northamptonshire Integrated Care Board,"19,006",615,"10,302","29,923","5,279",609,"10,151","16,039","3,950",6,151,"4,107",79.60%,57.20%,99.00%,98.50%,"3,698",0,0,"3,698","1,832","5,530","2,044",767
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,"25,803","1,578","11,033","38,414","7,205",0,"9,360","16,565","2,882",0,"1,309","4,191",79.80%,71.40%,-,87.70%,"7,202",0,0,"7,202","3,816","11,018","2,229",729
QKK,NHS South East London Integrated Care Board,"42,231",551,"37,508","80,290","23,660",551,"33,813","58,024","18,571",0,"3,695","22,266",72.30%,56.00%,100.00%,90.10%,"10,504",0,0,"10,504","2,622","13,126","4,366","1,015"
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board","10,987",0,"5,399","16,386","4,892",0,"5,164","10,056","6,095",0,235,"6,330",61.40%,44.50%,-,95.60%,"2,877",0,35,"2,912","1,666","4,578","1,727",649
QSL,NHS Somerset Integrated Care Board,"12,918",0,"9,382","22,300","7,940",0,"9,110","17,050","4,978",0,272,"5,250",76.50%,61.50%,-,97.10%,"3,388",0,0,"3,388","1,486","4,874",660,66
QWE,NHS South West London Integrated Care Board,"45,667",284,"13,356","59,307","31,120",284,"13,210","44,614","14,547",0,146,"14,693",75.20%,68.10%,100.00%,98.90%,"7,368",7,206,"7,581","1,891","9,472","3,609","1,733"
QF7,NHS South Yorkshire Integrated Care Board,"44,752",942,"12,588","58,282","23,362",942,"12,385","36,689","13,293",0,203,"13,496",73.10%,63.70%,100.00%,98.40%,"11,725",0,497,"12,222","4,652","16,874","3,456",131
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,"13,777",414,"7,940","22,131","6,418",414,"7,260","14,092","7,359",0,680,"8,039",63.70%,46.60%,100.00%,91.40%,"4,790",0,0,"4,790","2,463","7,253","1,735",665
QJG,NHS Suffolk And North East Essex Integrated Care Board,"22,241",0,"11,501","33,742","9,202",0,"10,904","20,106","5,805",0,120,"5,925",77.20%,61.30%,-,98.90%,"5,905",0,193,"6,098","1,985","8,083","1,945",178
QXU,NHS Surrey Heartlands Integrated Care Board,"27,053",0,"7,576","34,629","15,617",0,"7,350","22,967","11,436",0,226,"11,662",66.30%,57.70%,-,97.00%,"6,840",0,0,"6,840","2,286","9,126","2,519",67
QNX,NHS Sussex Integrated Care Board,"31,942","1,339","28,683","61,964","16,373","1,337","25,838","43,548","15,569",2,"2,845","18,416",70.30%,51.30%,99.90%,90.10%,"9,246",33,254,"9,533","2,587","12,120","2,672",733
QUA,NHS Black Country Integrated Care Board,"46,841",935,"32,696","80,472","29,282",811,"31,556","61,649","17,559",124,"1,140","18,823",76.60%,62.50%,86.70%,96.50%,"14,306",0,0,"14,306","3,454","17,760","4,348",318
QWO,NHS West Yorkshire Integrated Care Board,"68,259",312,"19,820","88,391","31,334",312,"13,497","45,143","19,428",0,44,"19,472",69.90%,61.70%,100.00%,99.70%,"14,946",0,230,"15,176","4,866","20,042","5,440",513
