Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QJK,NHS Devon Integrated Care Board,"28,330",175,"13,043","41,548","13,562",174,"12,315","26,051","14,768",1,728,"15,497",62.70%,47.90%,99.40%,94.40%,"8,286",0,0,"8,286","4,762","13,048","3,199",945
QVV,NHS Dorset Integrated Care Board,"17,823",0,"7,246","25,069","9,488",0,"7,239","16,727","8,335",0,7,"8,342",66.70%,53.20%,-,99.90%,"5,917",1,5,"5,923","2,679","8,602",226,36
QMF,NHS North East London Integrated Care Board,"47,280","3,135","30,105","80,520","28,226","2,711","25,469","56,406","19,054",424,"4,636","24,114",70.10%,59.70%,86.50%,84.60%,"14,482",0,0,"14,482","1,824","16,306","3,909","1,779"
QNQ,NHS Frimley Integrated Care Board,"22,398",0,"2,193","24,591","13,503",0,"2,099","15,602","8,895",0,94,"8,989",63.40%,60.30%,-,95.70%,"6,265",0,0,"6,265",295,"6,560","2,128",3
QR1,NHS Gloucestershire Integrated Care Board,"13,115",0,"7,026","20,141","7,494",0,"7,007","14,501","5,621",0,19,"5,640",72.00%,57.10%,-,99.70%,"2,769",0,0,"2,769","1,666","4,435","1,386",907
QOP,NHS Greater Manchester Integrated Care Board,"87,562","3,834","32,489","123,885","46,447","3,703","30,078","80,228","41,115",131,"2,411","43,657",64.80%,53.00%,96.60%,92.60%,"22,692",203,725,"23,620","5,721","29,341","10,329","2,282"
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,"38,895","2,062","23,456","64,413","20,930","1,983","22,526","45,439","17,965",79,930,"18,974",70.50%,53.80%,96.20%,96.00%,"12,330",14,0,"12,344","5,563","17,907","3,823",306
QE1,NHS Lancashire And South Cumbria Integrated Care Board,"41,369",0,"30,903","72,272","24,451",0,"29,647","54,098","16,918",0,"1,256","18,174",74.90%,59.10%,-,95.90%,"12,501",0,326,"12,827","5,832","18,659","5,552","2,955"
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,"18,653",0,"6,046","24,699","9,121",0,"6,036","15,157","9,532",0,10,"9,542",61.40%,48.90%,-,99.80%,"5,392",0,0,"5,392","1,833","7,225","1,517",422
QM7,NHS Hertfordshire And West Essex Integrated Care Board,"25,861",0,"19,848","45,709","10,874",0,"19,183","30,057","14,987",0,665,"15,652",65.80%,42.00%,-,96.60%,"8,317",0,0,"8,317","1,125","9,442","2,428",252
QOQ,NHS Humber And North Yorkshire Integrated Care Board,"41,374",412,"22,775","64,561","21,706",412,"21,300","43,418","19,668",0,"1,475","21,143",67.30%,52.50%,100.00%,93.50%,"13,965",1,0,"13,966","4,435","18,401","5,239","2,414"
QJ2,NHS Derby And Derbyshire Integrated Care Board,"29,079",0,"22,007","51,086","15,917",0,"21,628","37,545","13,162",0,379,"13,541",73.50%,54.70%,-,98.30%,"6,822",0,369,"7,191","2,965","10,156","2,344",685
QKS,NHS Kent And Medway Integrated Care Board,"50,789",0,"40,063","90,852","34,452",0,"38,698","73,150","16,337",0,"1,365","17,702",80.50%,67.80%,-,96.60%,"15,262",0,451,"15,713","4,050","19,763","4,451","1,862"
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board","21,589","1,874","12,238","35,701","11,063","1,778","12,226","25,067","10,526",96,12,"10,634",70.20%,51.20%,94.90%,99.90%,"5,526",3,0,"5,529","3,263","8,792","2,814","1,330"
QJM,NHS Lincolnshire Integrated Care Board,"12,734",0,"14,513","27,247","5,098",0,"13,520","18,618","7,636",0,993,"8,629",68.30%,40.00%,-,93.20%,"4,132",0,0,"4,132","1,022","5,154","2,112","1,288"
QH8,NHS Mid And South Essex Integrated Care Board,"31,944",0,"1,710","33,654","20,656",0,"1,658","22,314","11,288",0,52,"11,340",66.30%,64.70%,-,97.00%,"8,689",0,135,"8,824","1,334","10,158","3,354",41
QMM,NHS Norfolk And Waveney Integrated Care Board,"24,070",0,"10,169","34,239","14,310",0,"10,166","24,476","9,760",0,3,"9,763",71.50%,59.50%,-,100.00%,"6,240",0,0,"6,240","2,694","8,934","2,758","1,107"
QMJ,NHS North Central London Integrated Care Board,"46,030","6,268","16,901","69,199","26,943","6,217","14,865","48,025","19,087",51,"2,036","21,174",69.40%,58.50%,99.20%,88.00%,"8,242",11,0,"8,253","1,311","9,564","3,978","1,924"
QRV,NHS North West London Integrated Care Board,"50,787","3,949","43,013","97,749","27,974","3,885","41,852","73,711","22,813",64,"1,161","24,038",75.40%,55.10%,98.40%,97.30%,"14,681",2,0,"14,683","2,915","17,598","3,981",473
QPM,NHS Northamptonshire Integrated Care Board,"18,944",645,"10,770","30,359","9,616",622,"10,658","20,896","9,328",23,112,"9,463",68.80%,50.80%,96.40%,99.00%,"3,835",0,0,"3,835","1,515","5,350","2,524",943
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,"27,803","1,923","11,375","41,101","12,724","1,676","10,000","24,400","15,079",247,"1,375","16,701",59.40%,45.80%,87.20%,87.90%,"7,654",0,2,"7,656","4,709","12,365","2,626","1,105"
QKK,NHS South East London Integrated Care Board,"38,583",802,"38,785","78,170","17,259",802,"35,742","53,803","21,324",0,"3,043","24,367",68.80%,44.70%,100.00%,92.20%,"9,332",0,0,"9,332","2,012","11,344","4,377","1,447"
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board","10,782",0,"5,554","16,336","4,647",0,"5,350","9,997","6,135",0,204,"6,339",61.20%,43.10%,-,96.30%,"2,738",0,46,"2,784","2,295","5,079","1,530","1,088"
QSL,NHS Somerset Integrated Care Board,"12,631",0,"8,841","21,472","7,340",0,"8,567","15,907","5,291",0,274,"5,565",74.10%,58.10%,-,96.90%,"3,380",0,0,"3,380","1,965","5,345",454,9
QWE,NHS South West London Integrated Care Board,"41,937",285,"15,475","57,697","27,069",284,"15,103","42,456","14,868",1,372,"15,241",73.60%,64.50%,99.60%,97.60%,"7,677",10,126,"7,813","1,791","9,604","3,968","2,023"
QF7,NHS South Yorkshire Integrated Care Board,"44,600","1,167","12,269","58,036","26,578","1,167","11,880","39,625","18,022",0,389,"18,411",68.30%,59.60%,100.00%,96.80%,"13,629",0,460,"14,089","5,501","19,590","4,124",247
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,"14,436",493,"8,370","23,299","6,622",493,"8,102","15,217","7,814",0,268,"8,082",65.30%,45.90%,100.00%,96.80%,"6,122",0,0,"6,122","2,985","9,107","1,983","1,057"
QJG,NHS Suffolk And North East Essex Integrated Care Board,"21,907",0,"12,089","33,996","11,404",0,"11,906","23,310","10,503",0,183,"10,686",68.60%,52.10%,-,98.50%,"6,755",0,265,"7,020","1,462","8,482","3,658","2,017"
QXU,NHS Surrey Heartlands Integrated Care Board,"27,160",0,"6,717","33,877","16,165",0,"6,339","22,504","10,995",0,378,"11,373",66.40%,59.50%,-,94.40%,"8,154",0,0,"8,154","2,256","10,410","2,616",480
QNX,NHS Sussex Integrated Care Board,"36,686","1,610","24,925","63,221","22,040","1,605","24,579","48,224","14,646",5,346,"14,997",76.30%,60.10%,99.70%,98.60%,"11,415",22,55,"11,492","2,562","14,054","2,953",987
QUA,NHS Black Country Integrated Care Board,"47,605","1,185","29,503","78,293","27,519","1,045","28,369","56,933","20,086",140,"1,134","21,360",72.70%,57.80%,88.20%,96.20%,"15,749",0,0,"15,749","4,182","19,931","7,040",965
QWO,NHS West Yorkshire Integrated Care Board,"65,654",286,"24,259","90,199","38,158",286,"23,653","62,097","27,496",0,606,"28,102",68.80%,58.10%,100.00%,97.50%,"15,032",0,241,"15,273","5,096","20,369","7,826",916
