Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,"38,368","2,073","23,536","63,977","23,173","1,991","23,242","48,406","15,195",82,294,"15,571",75.70%,60.40%,96.00%,98.80%,"12,038",13,"3,256","15,307","5,209","20,516","3,217",512
QE1,NHS Lancashire And South Cumbria Integrated Care Board,"41,034",0,"30,676","71,710","25,827",0,"29,743","55,570","15,207",0,933,"16,140",77.50%,62.90%,-,97.00%,"11,505",0,274,"11,779","5,533","17,312","4,957","2,354"
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,"18,571",0,"6,100","24,671","9,866",0,"6,075","15,941","8,705",0,25,"8,730",64.60%,53.10%,-,99.60%,"4,925",0,0,"4,925","1,888","6,813","1,434",473
QM7,NHS Hertfordshire And West Essex Integrated Care Board,"27,547",0,"17,487","45,034","13,284",0,"17,186","30,470","14,263",0,301,"14,564",67.70%,48.20%,-,98.30%,"7,898",0,0,"7,898","1,399","9,297","2,005",95
QOQ,NHS Humber And North Yorkshire Integrated Care Board,"40,923",375,"22,535","63,833","23,810",375,"20,941","45,126","17,113",0,"1,594","18,707",70.70%,58.20%,100.00%,92.90%,"13,138",6,0,"13,144","4,231","17,375","3,573",925
QJ2,NHS Derby And Derbyshire Integrated Care Board,"23,064",0,"26,849","49,913","12,837",0,"26,077","38,914","10,227",0,772,"10,999",78.00%,55.70%,-,97.10%,"6,701",0,417,"7,118","2,843","9,961","1,416",202
QKS,NHS Kent And Medway Integrated Care Board,"49,903",0,"40,154","90,057","35,002",0,"38,549","73,551","14,901",0,"1,605","16,506",81.70%,70.10%,-,96.00%,"15,155",0,506,"15,661","4,026","19,687","3,783","1,115"
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board","19,384","1,855","11,348","32,587","11,199","1,773","11,331","24,303","8,185",82,17,"8,284",74.60%,57.80%,95.60%,99.90%,"5,130",6,0,"5,136","3,293","8,429","2,048",654
QJM,NHS Lincolnshire Integrated Care Board,"12,604",0,"15,585","28,189","5,373",0,"14,516","19,889","7,231",0,"1,069","8,300",70.60%,42.60%,-,93.10%,"4,123",0,0,"4,123","1,022","5,145","1,847",697
QH8,NHS Mid And South Essex Integrated Care Board,"31,482",0,"1,716","33,198","22,084",0,"1,631","23,715","9,398",0,85,"9,483",71.40%,70.10%,-,95.00%,"8,324",0,260,"8,584","1,288","9,872","2,655",11
QMM,NHS Norfolk And Waveney Integrated Care Board,"25,554",0,"9,988","35,542","16,413",0,"9,987","26,400","9,141",0,1,"9,142",74.30%,64.20%,-,100.00%,"6,046",0,0,"6,046","2,654","8,700","2,725",735
QMJ,NHS North Central London Integrated Care Board,"45,291","6,642","15,945","67,878","29,048","6,588","14,469","50,105","16,243",54,"1,476","17,773",73.80%,64.10%,99.20%,90.70%,"8,430",6,0,"8,436","1,252","9,688","2,928","1,078"
QRV,NHS North West London Integrated Care Board,"50,471","4,109","46,117","100,697","31,216","4,084","45,381","80,681","19,255",25,736,"20,016",80.10%,61.80%,99.40%,98.40%,"14,090",0,0,"14,090","3,285","17,375","2,233",216
QPM,NHS Northamptonshire Integrated Care Board,"18,389",588,"10,688","29,665","10,315",577,"10,538","21,430","8,074",11,150,"8,235",72.20%,56.10%,98.10%,98.60%,"3,823",0,0,"3,823","1,511","5,334","2,119",410
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,"26,477","1,860","10,888","39,225","14,311","1,614","10,233","26,158","12,166",246,655,"13,067",66.70%,54.10%,86.80%,94.00%,"7,246",0,0,"7,246","4,257","11,503","2,851",811
QKK,NHS South East London Integrated Care Board,"40,516",882,"37,425","78,823","23,330",882,"34,802","59,014","17,186",0,"2,623","19,809",74.90%,57.60%,100.00%,93.00%,"10,986",0,0,"10,986","2,630","13,616","3,137",654
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board","10,833",0,"6,021","16,854","4,657",0,"5,799","10,456","6,176",0,222,"6,398",62.00%,43.00%,-,96.30%,"2,668",0,54,"2,722","2,120","4,842","1,338",859
QSL,NHS Somerset Integrated Care Board,"12,677",0,"9,085","21,762","8,433",0,"8,806","17,239","4,244",0,279,"4,523",79.20%,66.50%,-,96.90%,"3,287",0,0,"3,287","1,470","4,757",311,3
QWE,NHS South West London Integrated Care Board,"41,251",310,"15,683","57,244","28,339",310,"15,549","44,198","12,912",0,134,"13,046",77.20%,68.70%,100.00%,99.10%,"7,715",5,136,"7,856","1,529","9,385","2,927","1,177"
QF7,NHS South Yorkshire Integrated Care Board,"44,075","1,204","11,914","57,193","28,136","1,204","11,527","40,867","15,939",0,387,"16,326",71.50%,63.80%,100.00%,96.80%,"13,234",0,441,"13,675","5,379","19,054","2,779",48
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,"13,803",514,"8,095","22,412","7,147",514,"7,941","15,602","6,656",0,154,"6,810",69.60%,51.80%,100.00%,98.10%,"5,935",0,0,"5,935","2,774","8,709","1,743",692
QJG,NHS Suffolk And North East Essex Integrated Care Board,"21,799",0,"12,095","33,894","13,401",0,"12,024","25,425","8,398",0,71,"8,469",75.00%,61.50%,-,99.40%,"6,677",0,264,"6,941","1,453","8,394","1,601",641
QXU,NHS Surrey Heartlands Integrated Care Board,"26,369",0,"7,088","33,457","18,011",0,"6,899","24,910","8,358",0,189,"8,547",74.50%,68.30%,-,97.30%,"8,173",0,0,"8,173","2,281","10,454","1,639",145
QNX,NHS Sussex Integrated Care Board,"35,864","1,482","26,720","64,066","22,879","1,468","26,360","50,707","12,985",14,360,"13,359",79.10%,63.80%,99.10%,98.70%,"11,710",30,45,"11,785","2,345","14,130","1,676",516
QUA,NHS Black Country Integrated Care Board,"46,106","1,365","30,267","77,738","28,050","1,159","29,677","58,886","18,056",206,590,"18,852",75.70%,60.80%,84.90%,98.10%,"15,502",0,0,"15,502","3,740","19,242","3,882",210
QWO,NHS West Yorkshire Integrated Care Board,"64,331",328,"22,609","87,268","41,343",328,"22,017","63,688","22,988",0,592,"23,580",73.00%,64.30%,100.00%,97.40%,"14,958",0,313,"15,271","5,096","20,367","4,954",76
